applicationId,enabled,language,os,region,date,userCount
0RDCKCHVJ7TH,,,,,2024-09-01,15
0RDCKCHVJ7TH,,,,,2024-09-08,37
0RDCKCHVJ7TH,,,,,2024-09-15,78
0RDCKCHVJ7TH,,,,,2024-09-22,104
0RDCKCHVJ7TH,,,,,2024-09-29,166
0RDCKCHVJ7TH,,,,,2024-10-06,183
0RDCKCHVJ7TH,,,,,2024-10-13,200
0RDCKCHVJ7TH,,,,,2024-10-20,266
0RDCKCHVJ7TH,,,,,2024-10-27,266
0RDCKCHVJ7TH,,,,,2024-11-03,308
0RDCKCHVJ7TH,,,,,2024-11-10,333
0RDCKCHVJ7TH,,,,,2024-11-17,369
0RDCKCHVJ7TH,,,,,2024-11-24,424
0RDCKCHVJ7TH,,,,,2024-12-01,453
0RDCKCHVJ7TH,,,,,2024-12-08,538
0RDCKCHVJ7TH,,,,,2024-12-15,537
